ClientId: 1061
Blu-Ray 12/22
Shoes 1/26
Lamp 1/18
Textbook 12/8
Blu-Ray 4/7
Shoes 5/21
Song 8/5
Blu-Ray 10/14
MovieRental 3/25
MovieRental 10/5
Blu-Ray 8/7
Blu-Ray 7/2
Phone 6/24
MovieRental 4/17
MovieRental 4/8
Song 8/13
Textbook 6/3
MovieRental 6/20
MovieRental 1/7
MovieRental 8/10
Shoes 9/20
Lamp 1/24
Textbook 2/17
Phone 2/23
Shoes 5/26
Shoes 7/13
Shoes 6/17
Shoes 1/24
Textbook 8/8
Shoes 6/13
Shoes 2/24
Blu-Ray 3/16
Lamp 1/1
MovieRental 6/8
Song 1/10
MovieRental 8/17
Phone 11/15
Shoes 7/5
Textbook 9/16
Phone 7/25
Blu-Ray 8/19
Blu-Ray 10/14
Shoes 7/13
Blu-Ray 6/5
MovieRental 10/15
Lamp 7/9
Blu-Ray 2/18
MovieRental 12/6
Lamp 10/11
MovieRental 7/7
MovieRental 5/26
Phone 11/25
Textbook 6/6
Phone 3/5
MovieRental 8/2
Blu-Ray 2/9
Phone 1/6
MovieRental 12/6
Textbook 9/15
Song 9/11
