ClientId: 1067
MovieRental 11/14
Song 12/15
Lamp 7/22
Lamp 4/9
Lamp 3/12
Song 7/7
Song 12/5
Textbook 6/13
Shoes 8/20
MovieRental 11/19
MovieRental 9/21
MovieRental 6/7
Textbook 6/9
Lamp 7/18
Shoes 4/10
Lamp 9/7
Shoes 5/26
Blu-Ray 8/8
Blu-Ray 1/13
MovieRental 1/10
Shoes 4/25
Blu-Ray 3/21
Shoes 7/10
Phone 7/16
Shoes 4/9
Blu-Ray 10/16
Lamp 6/22
Textbook 1/8
Song 12/12
Song 8/20
Phone 3/3
Shoes 1/16
Lamp 7/18
MovieRental 10/1
Phone 5/14
MovieRental 12/6
Song 10/5
Blu-Ray 10/26
MovieRental 4/14
Textbook 5/7
Blu-Ray 3/17
Textbook 6/10
Song 9/26
Lamp 1/10
Phone 7/9
Phone 3/15
Textbook 12/14
Textbook 8/1
Lamp 1/5
MovieRental 2/22
Phone 6/5
Phone 6/12
MovieRental 8/19
Textbook 1/18
Song 4/3
Lamp 4/23
MovieRental 12/23
MovieRental 11/26
MovieRental 8/25
