ClientId: 1065
Song 4/26
MovieRental 1/6
MovieRental 12/3
Blu-Ray 2/13
Blu-Ray 1/20
Lamp 5/13
Shoes 11/12
Lamp 11/24
MovieRental 11/13
Shoes 10/8
Phone 12/16
MovieRental 6/9
Shoes 9/26
Phone 9/9
MovieRental 5/5
Textbook 1/15
Song 12/23
Lamp 2/17
Shoes 12/15
Shoes 4/13
MovieRental 3/5
Phone 4/2
Shoes 4/25
Song 11/18
Phone 1/14
Textbook 4/12
Song 2/10
Blu-Ray 2/17
Blu-Ray 6/8
Phone 5/18
MovieRental 10/24
Song 1/16
Song 1/23
Lamp 9/21
Blu-Ray 4/10
Lamp 3/7
Blu-Ray 10/17
MovieRental 8/8
Blu-Ray 7/14
Phone 7/5
MovieRental 1/20
MovieRental 3/7
Blu-Ray 2/18
MovieRental 10/2
Song 2/5
Song 6/10
Textbook 10/11
Textbook 1/24
Phone 7/3
Shoes 10/20
MovieRental 5/1
Song 7/6
Textbook 7/5
MovieRental 12/6
Song 12/10
Phone 8/16
Blu-Ray 9/13
Phone 6/2
Lamp 8/20
Textbook 12/14
Blu-Ray 11/9
MovieRental 8/9
