ClientId: 1083
MovieRental 8/22
Textbook 2/17
Song 4/5
Lamp 10/19
Lamp 1/22
Lamp 6/22
Song 6/7
MovieRental 2/9
Lamp 6/12
Textbook 8/19
Textbook 6/14
Song 12/25
Phone 11/2
Song 7/24
Textbook 5/17
MovieRental 1/21
Phone 5/26
Phone 3/23
Lamp 5/12
Lamp 12/10
Blu-Ray 1/25
Song 12/15
Shoes 2/17
Lamp 6/19
Phone 6/24
Blu-Ray 12/6
Shoes 4/24
Phone 12/16
Song 7/9
Lamp 6/26
Song 3/17
Song 10/8
Textbook 3/14
MovieRental 3/1
Shoes 11/20
Phone 11/11
Song 3/22
MovieRental 3/15
Phone 8/15
Shoes 8/20
Phone 5/12
Shoes 9/11
MovieRental 3/10
Phone 3/22
Song 10/2
Lamp 4/21
MovieRental 12/24
Song 12/9
Shoes 10/6
Blu-Ray 5/25
Blu-Ray 4/11
Textbook 8/7
Lamp 9/19
Shoes 5/19
Song 9/15
Shoes 2/16
Blu-Ray 3/23
Lamp 12/21
