ClientId: 1059
Textbook 8/17
Blu-Ray 3/3
Shoes 7/6
Textbook 3/7
Lamp 9/22
Phone 2/18
Lamp 2/10
MovieRental 7/3
Shoes 5/10
MovieRental 1/8
Lamp 7/17
Textbook 11/9
Phone 4/17
Lamp 10/20
Shoes 10/25
Phone 8/2
Blu-Ray 9/14
Shoes 4/9
MovieRental 4/23
Song 6/26
Song 3/1
Shoes 11/21
Textbook 6/2
Lamp 9/23
Lamp 11/24
Textbook 8/15
MovieRental 4/4
Shoes 2/4
Phone 11/19
MovieRental 5/22
Shoes 11/1
Song 9/8
Shoes 3/8
MovieRental 1/26
Blu-Ray 9/2
Shoes 7/17
Phone 7/19
Blu-Ray 9/20
Textbook 8/15
Song 8/17
Blu-Ray 1/2
Blu-Ray 3/25
MovieRental 1/24
Blu-Ray 10/18
Phone 1/18
Textbook 9/2
Shoes 4/11
MovieRental 9/25
Shoes 3/20
Shoes 3/17
Phone 3/18
Phone 3/10
Shoes 1/18
Song 10/18
Shoes 7/17
Textbook 5/20
Song 2/9
Shoes 4/23
MovieRental 3/15
