ClientId: 1063
Shoes 12/23
Blu-Ray 8/9
Blu-Ray 6/19
Blu-Ray 1/10
Lamp 6/9
Blu-Ray 1/10
Textbook 9/19
Textbook 8/13
Song 12/24
Song 1/11
Shoes 11/26
Phone 10/17
Song 3/21
MovieRental 7/13
Textbook 11/25
Textbook 5/4
Textbook 7/7
Phone 12/6
Lamp 7/6
Textbook 2/2
Phone 4/12
Song 2/25
Shoes 8/12
Song 2/18
MovieRental 4/12
Phone 4/13
Phone 12/22
Lamp 3/23
Shoes 5/19
Lamp 3/1
MovieRental 2/1
MovieRental 6/8
Song 3/4
Lamp 4/15
Blu-Ray 1/2
Shoes 2/7
Blu-Ray 6/23
Song 6/24
Lamp 2/13
Blu-Ray 4/23
Lamp 6/3
MovieRental 8/16
Blu-Ray 8/2
MovieRental 9/12
Blu-Ray 9/6
MovieRental 12/3
Lamp 12/4
Textbook 2/15
Blu-Ray 12/12
Shoes 2/5
MovieRental 2/20
Textbook 11/17
Song 2/18
Phone 11/20
Textbook 4/1
MovieRental 11/3
Shoes 10/16
Song 10/18
Shoes 5/22
Textbook 12/9
Shoes 9/6
MovieRental 10/2
