ClientId: 1043
Textbook 8/11
Lamp 1/3
Textbook 10/23
Phone 5/22
Lamp 3/15
Song 3/4
Lamp 7/8
Lamp 10/7
MovieRental 7/20
Lamp 4/8
Shoes 10/24
MovieRental 9/20
Lamp 8/24
Textbook 11/14
MovieRental 8/21
MovieRental 4/14
Song 9/14
Lamp 10/20
Song 12/24
Textbook 6/25
MovieRental 6/1
Song 6/26
Textbook 7/20
Shoes 7/20
Shoes 9/7
Textbook 5/1
Textbook 2/1
Blu-Ray 3/20
Phone 3/20
Blu-Ray 6/16
MovieRental 6/11
Phone 12/16
Textbook 7/12
MovieRental 8/26
Textbook 3/23
Textbook 3/12
MovieRental 3/4
Blu-Ray 12/8
Textbook 4/15
Textbook 1/1
Song 11/8
Blu-Ray 12/24
Song 7/16
Phone 8/3
Blu-Ray 10/23
Blu-Ray 8/23
Textbook 4/1
Shoes 5/15
Lamp 7/19
Textbook 4/14
Textbook 5/13
Blu-Ray 1/17
Textbook 5/19
Textbook 9/17
Shoes 6/5
Song 7/1
MovieRental 11/11
Blu-Ray 3/4
MovieRental 2/4
Textbook 5/24
