ClientId: 1031
Shoes 8/10
Blu-Ray 8/9
Song 8/11
Song 2/5
Lamp 11/1
Textbook 11/15
Textbook 9/24
Shoes 8/3
Song 1/6
Textbook 7/14
Textbook 5/12
Song 6/25
Shoes 4/7
MovieRental 2/25
Shoes 3/13
Blu-Ray 4/5
Phone 7/7
Blu-Ray 1/10
Textbook 2/4
MovieRental 1/7
Song 11/14
Song 4/15
Textbook 5/26
Blu-Ray 2/23
Song 8/21
Phone 1/18
Blu-Ray 10/3
MovieRental 12/15
Shoes 1/12
Textbook 1/15
Textbook 7/3
Textbook 8/16
Textbook 7/22
Lamp 7/14
Phone 1/14
Phone 1/16
MovieRental 11/3
MovieRental 9/25
Blu-Ray 10/14
Shoes 5/26
Lamp 10/16
Song 1/16
MovieRental 1/24
Blu-Ray 1/13
Song 4/19
Textbook 5/12
Blu-Ray 8/21
Phone 7/9
Blu-Ray 5/13
Blu-Ray 3/10
Phone 6/5
Blu-Ray 11/4
MovieRental 11/18
Blu-Ray 4/17
Shoes 11/21
Song 6/14
Song 5/16
MovieRental 5/5
Blu-Ray 10/20
Lamp 11/23
Textbook 3/15
Phone 7/18
Shoes 9/15
Song 7/25
