ClientId: 1085
Phone 4/25
Phone 12/12
Phone 10/18
MovieRental 7/20
Blu-Ray 5/6
MovieRental 9/24
MovieRental 9/1
Song 9/20
Shoes 4/1
Phone 5/16
Phone 7/4
Blu-Ray 8/17
MovieRental 5/7
Shoes 1/20
Shoes 7/23
Shoes 1/6
MovieRental 10/15
Lamp 5/10
MovieRental 2/22
Textbook 3/20
Phone 8/18
MovieRental 9/19
Shoes 10/5
Phone 3/19
Phone 12/2
Song 11/4
MovieRental 6/12
Phone 3/10
Lamp 8/26
MovieRental 8/16
Textbook 11/16
Lamp 4/16
Phone 1/7
Lamp 8/7
Shoes 3/1
Blu-Ray 12/11
Blu-Ray 7/18
Song 5/25
MovieRental 1/15
MovieRental 11/3
Phone 1/3
Blu-Ray 4/26
Shoes 9/24
Phone 11/11
Song 3/1
Song 2/2
Blu-Ray 10/5
Song 11/18
Textbook 1/23
Shoes 9/16
Blu-Ray 6/17
Song 4/22
MovieRental 10/6
Phone 10/6
Textbook 9/24
Phone 11/5
MovieRental 2/19
Textbook 8/3
Shoes 3/9
MovieRental 7/12
MovieRental 2/6
Shoes 4/3
Shoes 4/25
Shoes 11/13
