ClientId: 1016
Shoes 1/15
Lamp 5/24
Blu-Ray 4/9
Lamp 8/6
Shoes 10/23
Song 8/20
Song 12/8
Lamp 4/11
Lamp 6/9
MovieRental 7/21
MovieRental 8/10
Lamp 3/1
Blu-Ray 5/24
Phone 8/18
Blu-Ray 8/1
Shoes 4/25
Song 6/13
Phone 3/2
Shoes 6/10
Phone 9/5
Shoes 5/7
Lamp 4/12
Song 9/14
Shoes 7/16
Phone 1/2
Song 3/25
Textbook 3/9
Blu-Ray 5/15
Lamp 2/22
Blu-Ray 6/25
Lamp 8/21
Textbook 2/26
Textbook 10/15
Shoes 12/23
Shoes 7/15
Shoes 1/18
Textbook 1/14
Textbook 10/19
Lamp 11/17
Shoes 6/14
Textbook 10/13
Shoes 8/25
Shoes 2/5
Shoes 7/8
Shoes 5/10
Blu-Ray 1/25
Lamp 6/5
Blu-Ray 5/7
Textbook 8/21
Lamp 3/9
Blu-Ray 9/3
Lamp 12/17
Textbook 5/25
Phone 6/24
Blu-Ray 7/20
Lamp 1/12
Blu-Ray 3/18
