ClientId: 1025
MovieRental 1/18
Textbook 9/20
Textbook 10/6
Phone 2/4
Blu-Ray 12/22
Song 10/4
Blu-Ray 5/24
Shoes 8/6
Lamp 12/11
Textbook 6/1
Shoes 11/24
Phone 8/20
Lamp 4/23
Phone 7/24
Blu-Ray 3/10
Lamp 10/11
Shoes 8/10
Phone 6/25
Lamp 9/25
Lamp 8/7
Song 4/11
Blu-Ray 9/18
Lamp 4/7
Textbook 9/4
Phone 8/11
Lamp 11/15
Phone 10/1
MovieRental 12/3
Song 2/8
Blu-Ray 12/9
Blu-Ray 11/24
Phone 10/16
Textbook 9/5
Phone 3/19
Song 1/10
Phone 9/3
Textbook 12/13
Textbook 10/4
Shoes 3/16
Lamp 8/19
Lamp 4/19
Textbook 9/23
Song 4/9
Blu-Ray 7/11
Song 3/25
Song 8/8
Phone 7/23
Shoes 7/15
Song 2/20
Blu-Ray 8/21
Shoes 5/24
Blu-Ray 8/18
Blu-Ray 5/5
Phone 6/3
Blu-Ray 3/19
Song 8/26
Textbook 6/26
Blu-Ray 9/11
Shoes 7/8
Song 1/5
Song 12/15
Phone 10/20
Lamp 6/14
Blu-Ray 12/17
