ClientId: 1029
Blu-Ray 1/10
Textbook 5/25
Textbook 11/11
MovieRental 4/1
Lamp 9/26
Phone 3/25
Song 8/9
Textbook 10/7
Blu-Ray 8/7
Phone 4/7
Textbook 9/19
MovieRental 3/9
MovieRental 8/10
Lamp 11/3
Blu-Ray 8/22
Textbook 3/12
Blu-Ray 2/5
Textbook 3/26
Song 8/6
Shoes 8/13
Shoes 4/22
Phone 10/14
Textbook 12/5
Textbook 3/2
Blu-Ray 9/6
Song 4/17
Shoes 5/26
Blu-Ray 10/14
Blu-Ray 4/4
Shoes 4/26
Textbook 12/2
Song 5/26
MovieRental 1/19
Lamp 9/7
Lamp 6/21
Lamp 7/3
Song 8/21
Textbook 10/6
Song 5/17
Blu-Ray 9/3
Blu-Ray 1/9
Phone 7/16
Textbook 12/6
Song 10/8
Blu-Ray 1/2
Song 12/18
Textbook 11/9
Shoes 5/25
Lamp 12/13
Shoes 8/12
Song 9/11
MovieRental 3/12
Phone 10/4
Song 11/4
Blu-Ray 2/23
Shoes 10/21
Phone 8/7
Shoes 10/19
MovieRental 2/13
Song 4/24
MovieRental 12/9
