ClientId: 1023
Lamp 5/13
Lamp 3/22
Lamp 5/21
Phone 1/3
Lamp 5/11
Shoes 6/26
MovieRental 10/4
Lamp 5/20
Song 10/22
Blu-Ray 9/4
Song 10/9
Shoes 12/2
MovieRental 2/16
MovieRental 5/26
Song 10/2
Textbook 2/23
Textbook 11/20
Shoes 5/12
Lamp 1/15
Phone 10/23
MovieRental 10/18
Blu-Ray 12/17
Textbook 8/18
Textbook 12/2
Phone 3/9
Phone 11/15
Lamp 8/14
Blu-Ray 9/8
MovieRental 5/19
Song 10/17
Textbook 3/1
Blu-Ray 3/8
Blu-Ray 11/12
Lamp 10/13
Textbook 9/1
Song 8/3
Textbook 12/17
MovieRental 12/19
Song 10/16
Phone 8/11
Blu-Ray 8/2
Textbook 2/6
Song 6/22
Song 6/22
Song 6/2
MovieRental 10/25
Song 9/16
Shoes 4/7
Phone 7/4
MovieRental 12/4
Song 11/18
Lamp 12/1
Shoes 3/19
Shoes 1/16
Lamp 3/7
Phone 11/11
Lamp 7/3
MovieRental 10/3
Blu-Ray 4/11
Song 4/3
Blu-Ray 10/12
Lamp 7/13
Lamp 5/8
Shoes 6/3
