ClientId: 1078
Textbook 3/12
Lamp 10/14
MovieRental 7/11
MovieRental 9/4
Song 9/26
Shoes 1/12
Blu-Ray 10/1
Textbook 7/20
Lamp 12/7
Textbook 5/3
Song 3/19
MovieRental 3/7
MovieRental 11/3
Blu-Ray 4/26
Lamp 5/11
Textbook 4/6
Song 5/8
Lamp 2/18
MovieRental 8/18
MovieRental 2/26
Textbook 9/7
Lamp 11/24
Blu-Ray 2/14
Shoes 1/3
Phone 6/14
Song 6/8
Phone 7/26
Textbook 9/1
Blu-Ray 10/9
Shoes 11/11
Phone 10/8
Song 2/26
Phone 12/16
Textbook 8/17
Textbook 8/2
Textbook 6/17
Song 10/8
Song 12/26
Textbook 3/13
Song 7/4
Phone 2/3
Textbook 1/17
Blu-Ray 12/16
MovieRental 12/23
Shoes 12/24
Song 12/15
MovieRental 7/2
Phone 7/24
Song 1/15
Phone 3/16
Lamp 12/20
Phone 1/23
Textbook 7/11
Textbook 7/13
Textbook 3/16
Shoes 10/21
Phone 12/7
Phone 12/9
Song 9/5
Song 11/13
Lamp 10/11
Lamp 11/14
Phone 2/11
Blu-Ray 10/23
