ClientId: 1051
Phone 8/8
Lamp 6/15
Phone 2/26
Textbook 10/12
Lamp 2/15
Blu-Ray 3/26
Shoes 7/12
Lamp 3/1
Song 6/18
Shoes 10/22
Textbook 7/2
Lamp 8/4
MovieRental 1/16
MovieRental 6/8
Blu-Ray 5/3
Phone 11/20
Blu-Ray 1/26
MovieRental 11/3
Textbook 12/9
Shoes 12/13
MovieRental 4/1
Shoes 9/5
Textbook 11/5
Shoes 6/24
Phone 10/6
Phone 5/9
MovieRental 2/7
Blu-Ray 1/8
Textbook 3/4
Lamp 4/13
Phone 1/21
Phone 11/16
Shoes 7/6
Lamp 6/1
Blu-Ray 4/5
Blu-Ray 10/20
Blu-Ray 12/2
Shoes 6/14
MovieRental 12/16
Blu-Ray 9/24
MovieRental 10/25
Phone 6/11
Song 4/3
Lamp 3/25
Song 5/13
Song 9/4
Lamp 8/15
Blu-Ray 5/2
Phone 12/9
MovieRental 2/5
Lamp 12/22
Song 12/20
Shoes 1/18
Song 2/16
Phone 4/9
Blu-Ray 10/3
Blu-Ray 10/22
