ClientId: 1095
Phone 11/9
Song 4/10
MovieRental 8/26
Shoes 9/17
MovieRental 5/16
Blu-Ray 4/6
Blu-Ray 8/15
Song 8/20
Textbook 8/17
Textbook 11/9
Phone 10/14
Textbook 2/10
Textbook 5/7
Phone 8/26
Textbook 11/11
Song 6/4
Song 7/5
Shoes 3/25
Song 12/7
Phone 2/26
Shoes 2/10
Shoes 4/9
Shoes 10/24
Lamp 1/12
Textbook 12/6
Blu-Ray 11/10
Shoes 1/15
Shoes 5/7
Phone 10/24
Lamp 6/14
Textbook 8/23
Blu-Ray 1/26
Song 3/12
MovieRental 2/15
Shoes 8/17
Textbook 3/24
Textbook 9/16
Phone 3/23
MovieRental 11/12
MovieRental 6/20
MovieRental 5/14
Phone 11/15
Song 7/9
MovieRental 10/11
Phone 6/20
Blu-Ray 6/18
MovieRental 12/13
Shoes 9/22
Lamp 6/11
MovieRental 5/25
Textbook 7/9
Blu-Ray 7/4
Blu-Ray 10/18
MovieRental 2/20
Blu-Ray 5/6
Song 3/15
Lamp 11/17
Phone 12/5
Song 1/24
Textbook 5/22
Lamp 6/24
Lamp 12/12
MovieRental 10/10
Textbook 12/13
