ClientId: 1087
Blu-Ray 8/12
Textbook 7/23
Textbook 5/10
MovieRental 12/15
Lamp 11/26
Textbook 11/17
Phone 10/20
Shoes 4/9
Textbook 1/8
Blu-Ray 2/25
MovieRental 4/11
Song 7/12
Phone 3/17
Phone 11/3
Textbook 6/2
Textbook 5/23
Lamp 11/19
Lamp 11/1
Song 3/17
Shoes 8/18
Song 9/12
Textbook 12/9
Shoes 1/15
Textbook 3/19
Shoes 7/21
Blu-Ray 1/9
Song 10/24
MovieRental 2/1
Blu-Ray 1/4
Song 3/18
Blu-Ray 4/21
Blu-Ray 9/16
Lamp 7/2
MovieRental 9/14
MovieRental 4/5
Textbook 9/8
Shoes 6/4
Phone 7/17
Shoes 10/14
Phone 9/4
MovieRental 3/25
Shoes 7/3
MovieRental 12/8
MovieRental 6/20
Phone 9/3
Phone 12/5
Blu-Ray 4/8
Song 6/21
Shoes 12/25
Shoes 1/18
Lamp 11/22
Blu-Ray 4/1
Shoes 2/18
Textbook 11/18
Song 9/17
Phone 4/12
Song 6/3
Phone 1/3
Song 7/15
