ClientId: 1092
Song 8/15
Shoes 2/17
Shoes 11/9
Shoes 6/13
Song 9/25
Textbook 1/1
MovieRental 2/9
Blu-Ray 9/4
Blu-Ray 8/8
Shoes 5/8
Shoes 7/23
Textbook 1/7
Shoes 2/15
MovieRental 10/9
Lamp 2/9
Shoes 11/9
Lamp 12/18
Song 3/24
Phone 7/8
MovieRental 11/18
Textbook 12/14
Blu-Ray 6/15
Blu-Ray 8/7
Lamp 2/4
Shoes 2/4
MovieRental 9/25
MovieRental 2/17
Shoes 9/14
Shoes 9/16
Blu-Ray 8/26
Song 3/23
Phone 4/8
Lamp 6/19
Song 12/11
Lamp 10/26
Blu-Ray 5/21
Shoes 10/2
Phone 7/2
Blu-Ray 10/13
Textbook 11/9
Song 5/5
Shoes 12/1
Phone 1/11
Textbook 2/22
MovieRental 6/18
Lamp 7/14
MovieRental 9/2
MovieRental 8/1
Shoes 2/24
Phone 6/4
Song 4/17
Blu-Ray 7/2
Shoes 2/25
Song 7/25
Textbook 8/16
Song 11/24
Phone 8/10
