ClientId: 1054
Phone 8/24
Phone 3/2
Song 1/4
Phone 7/13
Shoes 10/20
Song 11/13
Phone 10/9
Blu-Ray 12/7
Song 3/14
Shoes 4/21
MovieRental 2/9
Song 10/1
MovieRental 2/4
Phone 7/9
Song 2/7
Blu-Ray 9/14
Phone 1/21
Lamp 12/10
Song 2/2
MovieRental 7/18
Textbook 5/11
MovieRental 4/19
MovieRental 3/13
Lamp 1/12
Song 3/20
Shoes 11/22
Song 2/13
Phone 5/5
Song 9/12
Song 7/21
Shoes 7/20
Textbook 2/8
Lamp 12/4
Song 8/18
Shoes 10/22
Blu-Ray 1/7
Phone 12/13
Blu-Ray 5/7
MovieRental 2/15
Phone 5/2
Blu-Ray 2/7
Song 4/7
MovieRental 3/25
Shoes 7/18
Textbook 6/26
Textbook 10/7
Phone 7/4
Phone 1/8
Shoes 11/4
Lamp 10/14
Shoes 11/12
MovieRental 4/14
Blu-Ray 8/12
Lamp 8/12
Phone 12/15
Song 8/11
MovieRental 9/22
Lamp 2/26
Phone 8/9
